feature,importance
Memory,0.23430355937923092
RAM,0.13050364756355806
Battery_,0.11745550986957368
Front Camera_12MP,0.10037044223013081
Model_APPLE iPhone 14 Plus,0.08121449221958013
Mobile Height,0.0502819145108578
Front Camera_0MP,0.04207458962898208
Processor__Google Tensor G2,0.029313701759954923
Front Camera_5MP,0.028459575740274246
Model_Google Pixel 7,0.0269504911537795
Front Camera_10MP,0.011463001601043831
"Processor__Exynos 1380, Octa Core ",0.010892582227522193
Front Camera_32MP,0.0105583444207572
Colour_Purple,0.010353913191822295
Processor__Tensor G2,0.008731194255286989
Model_Google Pixel 7a,0.007835154289452912
"Processor__Dimensity 1080, Octa Core ",0.00745412822333946
Rear Camera_12MP,0.007413532696861079
Model_SAMSUNG Galaxy A54 5G,0.006307856044910383
Processor__ios,0.0059271168430049485
Model_SAMSUNG Galaxy A34 5G,0.005230210270130834
Model_REDMI Note 12 Pro 5G,0.0045286719772010525
Front Camera_8MP,0.004117532969576864
Processor__Qualcomm Snapdragon 7+ Gen 2 (4nm),0.003561112818785074
Colour_Nebula Green,0.003397855031031642
Rear Camera_50MP,0.00314725224595539
Front Camera_16MP,0.0029792714188649275
Colour_Phantom Black,0.002833516767459933
Colour_Interstellar Black,0.0027863322109163333
Model_Infinix Zero 20,0.002267939876464067
Processor__Mediatek G99,0.002191717255073707
Model_POCO F5 5G,0.002171765917614514
Model_MOTOROLA Edge 30 Ultra,0.002026904633964461
Colour_Frost Blue,0.001540063306007313
Front Camera_13MP,0.001301051131623145
Model_realme 10 Pro+ 5G,0.0012965062726778946
Model_SAMSUNG Galaxy S22 Plus 5G,0.0012879489168647759
Model_SAMSUNG Galaxy A23 5G,0.0012148524235478045
Processor__Mediatek Dimensity 7200 5G,0.0011955240586679705
Processor__Qualcomm Snapdragon 8 Gen 1,0.0011881069324769437
Colour_Black,0.0011398098365969368
Processor__Mediatek Dimensity 1080 5G,0.0011149295429465351
Front Camera_60MP,0.001065489707204166
Model_POCO X5 5G,0.0010398486726574305
Rear Camera_64MP,0.0009620283074186429
Processor__Qualcomm Snapdragon 695 (SM6375),0.0009117195715612965
Model_IQOO Neo 7 5G,0.0009059976991533991
Processor__Mediatek Helio G96,0.0007879186625216065
Processor__Qualcomm Snapdragon 8+ Gen 1,0.0007403336667679772
AI Lens,0.0007139365977462907
Model_vivo Y16,0.0006909515648495316
Model_vivo Y75,0.0005651499494929098
Model_SAMSUNG Galaxy A14 5G,0.0005612442076058036
Processor__Qualcomm Snapdragon 888 Octa-Core,0.0005208439069840565
Model_Infinix Zero 5G 2023 TURBO,0.0004963884188786996
Colour_Sailing Blue,0.00046388143885596944
Processor__Qualcomm Snapdragon 778G Plus,0.00042957197835050967
